Initial Cost	Cost	Total iterations	Partial iterations	k	lambda
267148.0	182519.0	3000	200	5.0	0.1

267148.0	201792.0	4000	200	5.0	1.0

267148.0	241652.0	1000	300	25.0	0.001

267148.0	182764.0	2000	300	25.0	0.01

267148.0	186959.0	3000	300	25.0	0.1

267148.0	190652.0	4000	300	25.0	1.0

267148.0	237313.0	1000	400	125.0	0.001

267148.0	205456.0	2000	400	125.0	0.01

267148.0	191118.0	3000	400	125.0	0.1

267148.0	214901.0	4000	400	125.0	1.0

267148.0	189888.0	1000	100	1.0	0.001

267148.0	181701.0	2000	100	1.0	0.01

267148.0	181203.0	3000	100	1.0	0.1

267148.0	208150.0	4000	100	1.0	1.0

267148.0	203330.0	1000	200	5.0	0.001

267148.0	186533.0	2000	200	5.0	0.01

267148.0	195749.0	3000	200	5.0	0.1

267148.0	212174.0	4000	200	5.0	1.0

267148.0	242537.0	1000	300	25.0	0.001

267148.0	187073.0	2000	300	25.0	0.01

267148.0	180034.0	3000	300	25.0	0.1

267148.0	207339.0	4000	300	25.0	1.0

267148.0	203726.0	1000	400	125.0	0.001

267148.0	233082.0	2000	400	125.0	0.01

267148.0	173586.0	3000	400	125.0	0.1

267148.0	206169.0	4000	400	125.0	1.0

267148.0	223756.0	1000	100	1.0	0.001

267148.0	176520.0	2000	100	1.0	0.01

267148.0	221663.0	3000	100	1.0	0.1

267148.0	200976.0	4000	100	1.0	1.0

267148.0	213734.0	1000	200	5.0	0.001

267148.0	184930.0	2000	200	5.0	0.01

267148.0	225627.0	3000	200	5.0	0.1

267148.0	225261.0	4000	200	5.0	1.0

267148.0	207689.0	1000	300	25.0	0.001

267148.0	180001.0	2000	300	25.0	0.01

267148.0	181145.0	3000	300	25.0	0.1

267148.0	225495.0	4000	300	25.0	1.0

267148.0	243035.0	1000	400	125.0	0.001

267148.0	188916.0	2000	400	125.0	0.01

267148.0	189609.0	3000	400	125.0	0.1

267148.0	211755.0	4000	400	125.0	1.0

267148.0	204745.0	1000	100	1.0	0.001

267148.0	177445.0	2000	100	1.0	0.01

267148.0	259606.0	3000	100	1.0	0.1

267148.0	210612.0	4000	100	1.0	1.0

267148.0	210700.0	1000	200	5.0	0.001

267148.0	200023.0	2000	200	5.0	0.01

267148.0	192032.0	3000	200	5.0	0.1

